OVERS,MDNS,RUNS,WKTS,ECON,AVE,SR,OPPOSITION,GROUND,`START_DATE`,MATCH_ID,BOWLER,PLAYER_ID
8,1,44,1,5.5,44,48,v India,Perth,06-Mar-15,ODI # 3625,Kemar Roach,230553
8,0,54,0,6.75,-,-,v U.A.E.,Napier,15-Mar-15,ODI # 3638,Kemar Roach,230553
10,0,60,1,6,60,60,v U.A.E.,Harare,06-Mar-18,ODI # 3987,Kemar Roach,230553
10,3,27,4,2.7,6.75,15,v Ireland,Harare,10-Mar-18,ODI # 3993,Kemar Roach,230553
10,0,55,3,5.5,18.33,20,v Zimbabwe,Harare,19-Mar-18,ODI # 4002,Kemar Roach,230553
7,2,20,2,2.85,10,21,v Scotland,Harare,21-Mar-18,ODI # 4004,Kemar Roach,230553
5,0,24,0,4.8,-,-,v Afghanistan,Harare,25-Mar-18,ODI # 4007,Kemar Roach,230553
7,0,52,0,7.42,-,-,v India,Guwahati,21-Oct-18,ODI # 4056,Kemar Roach,230553
10,0,67,1,6.7,67,60,v India,Visakhapatnam,24-Oct-18,ODI # 4059,Kemar Roach,230553
10,0,48,1,4.8,48,60,v India,Pune,27-Oct-18,ODI # 4062,Kemar Roach,230553
10,0,74,2,7.4,37,30,v India,Mumbai (BS),29-Oct-18,ODI # 4063,Kemar Roach,230553
5,2,13,0,2.6,-,-,v India,Thiruvananthapuram,01-Nov-18,ODI # 4064,Kemar Roach,230553
6,0,35,0,5.83,-,-,v Bangladesh,Dhaka,09-Dec-18,ODI # 4071,Kemar Roach,230553
10,0,39,1,3.9,39,60,v Bangladesh,Dhaka,11-Dec-18,ODI # 4072,Kemar Roach,230553
3,0,16,0,5.33,-,-,v Bangladesh,Sylhet,14-Dec-18,ODI # 4073,Kemar Roach,230553
7,0,28,2,4,14,21,v Ireland,Dublin,05-May-19,ODI # 4128,Kemar Roach,230553
7,0,30,0,4.28,-,-,v Bangladesh,Dublin,07-May-19,ODI # 4129,Kemar Roach,230553
10,2,62,0,6.2,-,-,v Ireland,Dublin (Malahide),11-May-19,ODI # 4132,Kemar Roach,230553
6,0,46,1,7.66,46,36,v Bangladesh,Dublin (Malahide),13-May-19,ODI # 4134,Kemar Roach,230553
5,0,57,0,11.4,-,-,v Bangladesh,Dublin (Malahide),17-May-19,ODI # 4137,Kemar Roach,230553
-,-,-,-,-,-,-,v England,Bridgetown,20-Feb-19,ODI # 4096,Nicholas Pooran ,604302
